Variant,Number of page views,GMV (in $),Number of add to cart,Clicks on media,Time on Page (sec),user_id
A,5,0.0,0,2,74,0
A,4,0.0,4,1,21,1
A,4,0.0,2,0,1,2
A,5,0.0,0,1,26,3
A,5,0.0,3,3,46,4
A,3,0.0,1,1,31,5
A,5,0.0,2,1,18,6
A,4,0.0,2,0,22,7
A,6,0.0,0,2,91,8
A,7,0.0,2,3,2,9
A,2,0.0,5,1,22,10
A,5,0.0,2,1,7,11
A,5,0.0,3,1,20,12
A,6,0.0,0,2,19,13
A,4,0.0,2,0,4,14
A,6,0.0,1,4,5,15
A,6,0.0,3,2,19,16
A,1,0.0,2,0,3,17
A,7,0.0,1,2,7,18
A,2,0.0,2,1,36,19
A,11,121.72,1,2,8,20
A,4,0.0,2,1,14,21
A,3,80.0,5,1,56,22
A,8,0.0,3,2,6,23
A,3,0.0,4,2,10,24
A,3,0.0,2,0,19,25
A,5,0.0,2,2,28,26
A,8,0.0,0,1,46,27
A,3,0.0,2,0,49,28
A,2,0.0,1,1,30,29
A,5,97.65,1,2,6,30
A,3,0.0,2,1,1,31
A,8,0.0,3,1,10,32
A,10,0.0,1,3,3,33
A,3,0.0,2,1,25,34
A,2,0.0,1,2,22,35
A,5,0.0,2,4,1,36
A,7,0.0,1,2,36,37
A,6,0.0,1,2,6,38
A,6,0.0,3,2,12,39
A,2,0.0,3,1,22,40
A,4,0.0,1,0,11,41
A,9,0.0,0,2,12,42
A,7,0.0,3,0,2,43
A,11,0.0,3,1,11,44
A,8,0.0,3,1,29,45
A,3,0.0,0,1,49,46
A,2,0.0,0,1,11,47
A,3,0.0,0,1,11,48
A,4,0.0,4,1,24,49
A,5,125.47,1,0,56,50
A,5,0.0,3,2,7,51
A,4,0.0,0,1,12,52
A,3,0.0,0,1,31,53
A,8,0.0,4,5,19,54
A,2,0.0,1,0,3,55
A,1,0.0,2,0,20,56
A,4,0.0,4,1,5,57
A,5,0.0,1,3,14,58
A,4,0.0,0,2,15,59
A,3,0.0,1,2,41,60
A,4,0.0,2,1,13,61
A,8,0.0,1,6,7,62
A,2,0.0,1,0,6,63
A,2,98.22,1,0,41,64
A,2,0.0,3,1,4,65
A,7,0.0,1,4,11,66
A,6,0.0,1,0,5,67
A,7,71.68,3,1,29,68
A,6,0.0,1,0,13,69
A,7,0.0,2,1,9,70
A,6,0.0,0,1,9,71
A,4,0.0,1,3,38,72
A,2,0.0,3,1,16,73
A,3,0.0,1,1,25,74
A,4,0.0,4,2,45,75
A,7,0.0,2,2,46,76
A,4,0.0,0,2,8,77
A,3,0.0,4,1,60,78
